customer_id,declared_monthly_income,employment_type,city_tier
1,42470.43,Self_Employed,Tier_1
2,39170.41,Salaried,Tier_1
3,43829.2,Self_Employed,Tier_2
4,42184.24,Gig,Tier_1
5,38595.08,Salaried,Tier_1
6,38595.18,Salaried,Tier_2
7,49475.28,Salaried,Tier_1
8,44906.91,Self_Employed,Tier_2
9,37183.15,Salaried,Tier_2
10,34340.48,Gig,Tier_1
11,26292.66,Gig,Tier_2
12,37205.62,Salaried,Tier_1
13,31935.7,Gig,Tier_1
14,28520.32,Salaried,Tier_1
15,16200.66,Gig,Tier_2
16,25501.7,Gig,Tier_2
17,28884.52,Self_Employed,Tier_3
18,41885.48,Salaried,Tier_2
19,22735.81,Gig,Tier_2
20,18701.57,Gig,Tier_2
21,51190.84,Self_Employed,Tier_1
22,38645.34,Salaried,Tier_1
23,40405.17,Salaried,Tier_1
24,31451.51,Salaried,Tier_1
25,33100.56,Self_Employed,Tier_1
26,40665.54,Salaried,Tier_1
27,33094.04,Salaried,Tier_3
28,41381.28,Self_Employed,Tier_2
29,36396.17,Salaried,Tier_2
30,38249.84,Salaried,Tier_1
31,25186.35,Gig,Tier_2
32,54670.5,Self_Employed,Tier_2
33,29892.02,Gig,Tier_3
34,33653.73,Salaried,Tier_1
35,44935.27,Salaried,Tier_1
36,32674.94,Salaried,Tier_3
37,31670.91,Gig,Tier_1
38,20362.97,Self_Employed,Tier_1
39,19374.51,Gig,Tier_2
40,41181.17,Salaried,Tier_1
41,44646.2,Self_Employed,Tier_1
42,39542.31,Self_Employed,Tier_3
43,39306.11,Salaried,Tier_1
44,27591.17,Gig,Tier_2
45,31128.87,Salaried,Tier_1
46,35680.93,Salaried,Tier_2
47,33854.25,Self_Employed,Tier_2
48,46342.73,Salaried,Tier_1
49,32748.95,Gig,Tier_2
50,15895.68,Gig,Tier_3
51,41944.5,Salaried,Tier_2
52,34534.26,Self_Employed,Tier_2
53,35938.47,Salaried,Tier_2
54,43670.06,Salaried,Tier_2
55,46186.0,Salaried,Tier_3
56,37450.24,Gig,Tier_1
